question,answer,explanation,evidence_KG,hop,target_protein_id,interaction_count
"In a signaling complex, the protein SRC (P12931) interacts with multiple partners including RAF1 (P04049), YES1 (P07949), and FGR (P09769). A dominant-negative mutation in RAF1 prevents its activation. Meanwhile, a constitutively active FGR mutant is introduced. What is the net effect on the downstream MAPK cascade activation, and why?",Reduced activation due to RAF1 blockade,"1. SRC interacts with RAF1, YES1, and FGR to regulate MAPK signaling. 2. RAF1 is a key upstream activator of the MAPK cascade. 3. A dominant-negative RAF1 mutation poisons the RAF1-containing complexes, blocking RAF1-dependent activation. 4. FGR activation (even constitutively active) cannot compensate because RAF1 acts as a critical bottleneck for signal transmission to MAPK. 5. Thus, despite FGR hyperactivity, the RAF1 blockade dominates and reduces MAPK activation.","[""(SRC, interacts_with, RAF1)"", ""(SRC, interacts_with, FGR)"", ""(RAF1, activates, MAPK_cascade)"", ""(FGR, modulates, MAPK_cascade)"", ""(RAF1_DN_mutant, dominant_negative_blocks, RAF1_activation)"", ""(FGR_CA_mutant, constitutively_active, FGR)""]",5,uniprotkb:P12931,608
"A signaling pathway involves the protein complex containing Q9Y618, P19793 (TLR4), Q13133 (TRAF6), P55055 (TAB1), P28702 (IRAK4), and P68431 (GSK3B). In cells with a loss-of-function mutation in IRAK4 (P28702) that prevents its kinase activity, and overexpression of a constitutively active GSK3B (P68431) mutant, what is the expected effect on NF-kB activation? Explain using the core logic of epistasis and bottleneck constraints.",NF-kB activation is blocked due to the IRAK4 mutation overriding downstream signals,"1. TLR4 (P19793) activation recruits IRAK4 (P28702) and TRAF6 (Q13133), forming a complex with TAB1 (P55055) and Q9Y618. 2. IRAK4 kinase activity is required for TRAF6 activation and downstream NF-kB signaling (bottleneck: IRAK4 must be functional). 3. The IRAK4 loss-of-function mutation prevents TRAF6 activation, blocking the pathway upstream of NF-kB. 4. GSK3B (P68431) acts downstream of this complex but cannot compensate for the loss of IRAK4 activity (epistasis: upstream blockade overrides downstream interventions). 5. Thus, NF-kB remains inactive despite active GSK3B.","[""(TLR4, recruits, IRAK4)"", ""(TLR4, recruits, TRAF6)"", ""(IRAK4, phosphorylates, TRAF6)"", ""(TRAF6, activates, NF-kB_pathway)"", ""(GSK3B, regulates, NF-kB_activity)"", ""(IRAK4_mutant, loss_of_function, kinase_activity)"", ""(GSK3B_active_mutant, constitutively_active, no_effect_with_upstream_block)""]",6,uniprotkb:Q9Y618,608
"Protein ERBB4 (Q15303) forms a heterodimer with ERBB2 (P04626) upon ligand binding, leading to downstream signaling. Additionally, ERBB4 interacts with GRB2 (Q96J02) and SHC1 (Q9H0M0) to activate the MAPK pathway. In a cell expressing wild-type ERBB4 and ERBB2, but with a loss-of-function mutation in GRB2 that prevents its interaction with ERBB4, what is the most likely effect on MAPK activation?",MAPK activation is impaired,"1. ERBB4 dimerizes with ERBB2 upon ligand binding. 2. This dimerization activates downstream signaling, including recruitment of adaptors like GRB2 and SHC1. 3. GRB2 is essential for linking ERBB4 to the Ras/MAPK pathway. 4. The mutation in GRB2 prevents its interaction with ERBB4. 5. Without GRB2, the signal cannot propagate to activate Ras and downstream MAPK. 6. Therefore, MAPK activation is impaired even though upstream dimerization is intact.","[""(ERBB4, dimerizes_with, ERBB2)"", ""(ERBB4, interacts_with, GRB2)"", ""(ERBB4, interacts_with, SHC1)"", ""(GRB2, activates, MAPK_pathway)"", ""(GRB2_mutant, blocks_interaction_with, ERBB4)""]",5,uniprotkb:Q15303,608
"Protein uniprotkb:O15379 (TBXA2R) forms a complex with uniprotkb:P19793 (TXA2) to activate downstream signaling. A mutation in TBXA2R disrupts its interaction with TXA2. However, when a constitutively active form of uniprotkb:P28702 (GNAQ) is expressed, downstream phospholipase C activity is restored. What does this imply about the position of GNAQ in the signaling cascade relative to TBXA2R, and why?",GNAQ acts downstream of TBXA2R and can bypass the receptor mutation,"1. TBXA2R normally binds TXA2, leading to activation of GNAQ. 2. GNAQ activates phospholipase C (PLC), triggering downstream signaling. 3. The TBXA2R mutation prevents TXA2 binding, blocking upstream activation. 4. Constitutively active GNAQ does not require receptor input. 5. Therefore, active GNAQ restores PLC signaling independently of the defective TBXA2R, placing GNAQ downstream of the receptor.","[""(TXA2, activates, TBXA2R)"", ""(TBXA2R, activates, GNAQ)"", ""(GNAQ, activates, PLC)"", ""(TBXA2R_mutant, disrupts_interaction_with, TXA2)"", ""(GNAQ_active_mutant, bypasses, TBXA2R_activation)""]",5,uniprotkb:O15379,594
"Protein Q9HCJ0 (SLC38A10) is involved in amino acid transport. It interacts with Reactome complexes R-HSA-9618483 (Amino acid transport across the plasma membrane) and R-HSA-9909617 (Amino acid transporters). In a cell line where R-HSA-9909617 is knocked out, but R-HSA-9618483 is overexpressed, what is the expected effect on glutamine uptake, and why?",No significant change in glutamine uptake,"1. SLC38A10 (Q9HCJ0) functions as an amino acid transporter. 2. R-HSA-9618483 represents the core transport mechanism at the plasma membrane. 3. R-HSA-9909617 represents the broader family of amino acid transporters, including SLC38A10. 4. Knocking out R-HSA-9909617 implies loss of all transporter complexes, including SLC38A10-dependent transport. 5. Overexpressing R-HSA-9618483 alone does not restore transporter function because SLC38A10 requires association with specific transporter complexes (R-HSA-9909617) for activity. 6. The knockout creates an upstream bottleneck that cannot be bypassed by overexpression of the membrane localization complex (R-HSA-9618483).","[""(SLC38A10, interacts_with, R-HSA-9618483)"", ""(SLC38A10, interacts_with, R-HSA-9909617)"", ""(R-HSA-9618483, part_of, amino_acid_transport)"", ""(R-HSA-9909617, is_a, amino_acid_transporter_complex)"", ""(SLC38A10, requires, R-HSA-9909617_for_function)"", ""(R-HSA-9909617_knockout, disrupts, transporter_activity)""]",6,uniprotkb:Q9HCJ0,593
"Protein Q8NDV7 (GPR101) interacts with the Gs heterotrimer in multiple GPCR signaling contexts. A constitutively active mutant of GPR101 is known to cause elevated cAMP. If a cell expresses both wild-type GPR101 and a dominant-negative mutant of Gsα (which cannot exchange GDP for GTP), what is the predicted effect on cAMP levels?",cAMP levels decrease significantly,"1. GPR101 activates Gs by promoting GDP/GTP exchange on the Gsα subunit. 2. Activated Gsα stimulates adenylyl cyclase, increasing cAMP production. 3. A constitutively active GPR101 mutant bypasses ligand requirement but still requires functional Gs to transmit the signal. 4. The dominant-negative Gsα mutant blocks GDP/GTP exchange, preventing Gs activation even if the receptor is active. 5. Since both wild-type and mutant GPR101 rely on functional Gs to elevate cAMP, the defective Gsα poisons the entire pathway, resulting in low cAMP.","[""(GPR101_wild-type, activates, Gs)"", ""(GPR101_constitutive_mutant, activates, Gs)"", ""(Gs, requires_GTP, activation)"", ""(Gsα_DN_mutant, blocks, GDP/GTP_exchange)"", ""(Gs_activation, stimulates, adenylyl_cyclase)"", ""(adenylyl_cyclase, produces, cAMP)""]",6,uniprotkb:Q8NDV7,591
"Protein ChEBI:18420 (Farnesyl pyrophosphate) is synthesized by farnesyl diphosphate synthase (FDPS) from isopentenyl pyrophosphate (IPP) and dimethylallyl pyrophosphate (DMAPP). The enzyme FDPS (uniprotkb:P14324) is inhibited by bisphosphonate drugs (e.g., zoledronate). If a cell line with a loss-of-function mutation in FDPS is treated with zoledronate, what happens to farnesyl pyrophosphate levels, and why?",No change (already depleted),"1. FDPS catalyzes the synthesis of farnesyl pyrophosphate (FPP) from IPP and DMAPP. 2. A loss-of-function mutation in FDPS reduces or eliminates FPP production. 3. Zoledronate inhibits FDPS, but if FDPS is already nonfunctional due to mutation, further inhibition has no additional effect. 4. Therefore, FPP levels remain depleted regardless of drug treatment.","[""(FDPS, synthesizes, Farnesyl pyrophosphate)"", ""(FDPS_mutant, loss-of-function, Farnesyl pyrophosphate production)"", ""(Zoledronate, inhibits, FDPS)""]",3,ChEBI:18420,588
"The protein encoded by Q9UPQ9 (DVL1) is involved in Wnt signaling. DVL1 interacts with the destruction complex (R-HSA-9618483) and the beta-catenin complex (R-HSA-9909617). In a cell line with a mutation in the destruction complex that prevents its interaction with DVL1, but DVL1 is overexpressed, what is the net effect on beta-catenin stability and Wnt target gene transcription?",Increased beta-catenin stability and elevated transcription,"1. The destruction complex (R-HSA-9618483) normally degrades beta-catenin. 2. DVL1 inhibits the destruction complex, promoting beta-catenin stabilization. 3. A mutation preventing DVL1-destruction complex interaction would normally lead to unrestrained beta-catenin degradation. 4. However, DVL1 overexpression compensates by saturating the defective complex or acting through alternative pathways. 5. Beta-catenin accumulates (R-HSA-9909617) and activates Wnt target genes. Thus, despite the mutation, overexpression rescues the phenotype.","[""(DVL1, interacts_with, destruction_complex)"", ""(destruction_complex, degrades, beta-catenin)"", ""(DVL1, inhibits, destruction_complex)"", ""(beta-catenin, activates, Wnt_target_genes)"", ""(DVL1_overexpression, bypasses, destruction_complex_mutation)""]",5,uniprotkb:Q9UPQ9,585
"Protein JAK1 (P23458) interacts with multiple cytokine receptors (e.g., IL4R, IL2RG, IL13RA1) and activates STAT6. In a cell with hyperactive JAK1 (gain-of-function mutation) but lacking functional STAT6 due to a dominant-negative mutation, what is the net effect on transcription of STAT6 target genes, and why?",No transcriptional activation (despite hyperactive JAK1),"1. JAK1 phosphorylates cytokine receptors, creating docking sites for STAT6. 2. STAT6 is recruited, phosphorylated by JAK1, and dimerizes to enter the nucleus. 3. STAT6 dimers bind DNA and activate transcription of target genes. 4. A gain-of-function JAK1 mutation increases receptor phosphorylation and STAT6 recruitment. 5. However, dominant-negative STAT6 forms non-functional dimers that cannot activate transcription. 6. Thus, even with hyperactive upstream signaling, the defective STAT6 acts as a downstream bottleneck (AND gate: functional STAT6 dimer required), blocking gene activation.","[""(JAK1, phosphorylates, IL4R)"", ""(JAK1, phosphorylates, IL2RG)"", ""(JAK1, phosphorylates, STAT6)"", ""(STAT6, dimerizes, STAT6_dimer)"", ""(STAT6_dimer, activates_transcription, target_genes)"", ""(STAT6_DN_mutant, forms, nonfunctional_dimers)""]",6,uniprotkb:P23458,574
"Protein TAX1BP1 (Q9BZK7) is a key component of the TNF signaling pathway, interacting with TRAF6 (Q9Y4K3), RIPK1 (Q13546), and TRADD (Q15628). In a cell with a TRAF6 loss-of-function mutation, but overexpressing a constitutively active RIPK1 mutant, what is the net effect on NF-kB activation?",NF-kB activation occurs despite TRAF6 mutation,"1. TRAF6 normally acts upstream to activate NF-kB via TAK1 and IKK. 2. RIPK1 can independently activate NF-kB when overexpressed in a constitutively active form. 3. The TRAF6 mutation blocks its signaling branch. 4. Constitutively active RIPK1 bypasses the TRAF6 requirement and directly triggers NF-kB activation. 5. Thus, NF-kB is activated via the RIPK1 pathway even without functional TRAF6.","[""(TRAF6, activates, TAK1)"", ""(TAK1, activates, IKK)"", ""(IKK, activates, NF-kB)"", ""(RIPK1_active_mutant, activates, NF-kB)"", ""(TRAF6_mutant, loss_of_function, TRAF6)""]",5,uniprotkb:Q9BZK7,572
"Protein O60907 (RGS10) negatively regulates G-protein signaling by accelerating GTP hydrolysis on G-alpha subunits. In a system where RGS10 is overexpressed, and G-alpha-q (P55055) carries a mutation that impairs GTPase activity but still binds RGS10, what is the net effect on downstream signaling through PLC-beta, and why?",Signaling remains prolonged despite RGS10 overexpression,"1. RGS10 acts as a GTPase-activating protein (GAP) for G-alpha subunits, terminating their signaling. 2. G-alpha-q normally activates PLC-beta upon GTP binding. 3. A G-alpha-q mutation that impairs GTPase activity prevents intrinsic hydrolysis, leading to prolonged signaling. 4. RGS10 requires functional catalytic residues on G-alpha to stimulate GTP hydrolysis. 5. The mutant G-alpha-q binds RGS10 but cannot be stimulated to hydrolyze GTP due to impaired catalytic function. 6. Therefore, even with excess RGS10, the mutant G-alpha-q remains GTP-bound and continues to activate PLC-beta.","[""(RGS10, negatively_regulates, G-alpha_q)"", ""(G-alpha_q, activates, PLC-beta)"", ""(RGS10, accelerates, GTP_hydrolysis)"", ""(G-alpha_q_mutant, impairs, GTPase_activity)"", ""(G-alpha_q_mutant, binds, RGS10)"", ""(Impaired_GTPase, prevents, signal_termination)""]",6,uniprotkb:O60907,572
"Protein Q13227 (GRB2) interacts with multiple partners including P19793 (TRAF6) and Q13133 (MAPK8). In a cell with a constitutively active TRAF6 mutant that bypasses upstream signals, but MAPK8 has a dominant-negative mutation. What is the likely effect on downstream JNK pathway activation, and why?",No Activation,"1. GRB2 (Q13227) acts as an adaptor protein linking upstream signals to MAPK activation. 2. TRAF6 (P19793) is upstream and activates pathways leading to JNK. 3. MAPK8 (Q13133) is JNK1, the terminal kinase in the pathway. 4. Constitutively active TRAF6 should drive JNK activation independently of upstream inputs. 5. However, dominant-negative MAPK8 (JNK1) poisons the entire kinase cascade. 6. Since MAPK8 is the effector, its dysfunction blocks signal output regardless of upstream activation (Dominant Negative constraint).","[""(GRB2, adaptor, TRAF6)"", ""(TRAF6, activates, JNK_pathway)"", ""(MAPK8, is, JNK1)"", ""(JNK1, effector, JNK_pathway)"", ""(TRAF6_active_mutant, bypasses, upstream)"", ""(MAPK8_DN_mutant, poisons, JNK_activation)""]",5,uniprotkb:Q13227,563
"The GTPase HRAS (P01112) is activated by GDP dissociation and GTP binding. In a mutant cell line, HRAS is constitutively active due to a G12V mutation. The cell also expresses RAF1 (P04049), MEK1/2 (P04049 and Q02750), and ERK1/2 (P27361 and P28482). If a drug blocks the interaction between RAF1 and MEK, what effect will this have on ERK phosphorylation, and why?",No ERK phosphorylation,"1. Constitutively active HRAS-G12V continuously activates RAF1. 2. RAF1 phosphorylates and activates MEK. 3. MEK phosphorylates and activates ERK. 4. The drug blocks RAF1–MEK interaction, preventing MEK activation. 5. Without active MEK, ERK cannot be phosphorylated. 6. Thus, even with continuous HRAS activation, ERK phosphorylation is blocked at the RAF1–MEK step.","[""(HRAS_G12V, constitutively_active)"", ""(HRAS, activates, RAF1)"", ""(RAF1, phosphorylates, MEK)"", ""(MEK, phosphorylates, ERK)"", ""(drug, blocks, RAF1–MEK_interaction)""]",5,uniprotkb:P01112,555
